SKU;Product Name;Published;Featured;Short Description;Allow Customer Reviews;Regular Price;Sale Price;Category;
408-HH;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;364.572;;Mobiliário > Escritório > Cadeiras;
408-LL;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado
;no;441180.000;361767.0;Mobiliário > Escritório > Cadeiras;
522-H;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materiais: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;459562.000;376841.0;Mobiliário > Escritório > Cadeiras;
522-L;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;422797.000;346693.0;Mobiliário > Escritório > Cadeiras;
522-V;CADEIRA DE VISITA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;349267.418;286399.0;Mobiliário > Escritório > Cadeiras;
574L;Cadeiras Exec. C/Costa Med de Escrit. em pele PRET;yes;yes;;no;380000.000;316546.65000000002;Mobiliário > Escritório;
574V;Cadeira de Visita em pele;yes;yes;;no;345000.000;289414.0;Mobiliário > Escritório;
993 DT;Conj.de sofas de canto dir.em pele preto & branco;yes;yes;;no;3152599.000;2585131.0;Mobiliário > Lar > Sofás;
993 EQ;Sofa com canto esquerdo em pele preto e branco;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Branco<br>Medidas: 230cmx190cm;no;3152599.000;2585131.0;Mobiliário > Lar > Sofás;
A78 CHOCOLAT;Sofá de 1L Chocolate;yes;yes;Materiais: Pele<br>Cor: Castanho<br>;no;330885.000;271325.0;Mobiliário > Escritório > Sofás;
A78 CHOCOLATE;Sofá de 3L Chocolate;yes;yes;Materiais: Pele<br>Cor: Castanho/Prata<br>;no;955890.000;783829.0;Mobiliário > Escritório > Sofás;
A78 CHOCOLATE (3+1+1);Conj.Sofás Escritório A78(3+1+1);yes;yes;Materiais: Pele<br>Cor: Castanho/Prata<br>;no;1463247.000;1199852.0;Mobiliário > Escritório > Sofás;
A78 PRETO;SOFA DE ESCRITORIO 1 LUGAR;yes;yes;Materiais: Pele<br>Cor: Preto/Prata;no;307800.000;252396.0;Mobiliário > Escritório > Sofás;
A78 PRETO (3+1+1);Conj.Sofás Escritório A78 (3+1+1);yes;yes;Materiais: Pele<br>Cor: Preto/Prata<br>;no;1463247.000;1199862.0;Mobiliário > Escritório > Sofás;
A78 PRETO.;SOFA DE ESCRITORIO 3 LUGAR;yes;yes;Materiais: Pele<br>Cor: Preto/Prata;no;955890.000;783829.0;Mobiliário > Escritório > Sofás;
ALEX+2 BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas:120x60x44cm;no;477945.000;391914.0;Mobiliário > Lar > Mesas de Centro;
ALEX+2 PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor:Preto<br>Medidas:120x60x44cm;no;477945.000;391914.0;Mobiliário > Lar > Mesas de Centro;
BOSTON XL DTO; CONJUNTO DE SOFA PRETO/MARROM-DIREITO;yes;yes;Materiais: Tecido<br>Cor: Preto/Cinzento<br>Medidas: 245cmx330cmx245cm;no;3125025.000;2562520.0;Mobiliário > Lar > Sofás;
BOSTON XL ESQUERDO; CONJUNTO DE SOFA PRETO/MARROM-ESQUERDO;yes;yes;Materiais: Tecido<br>Cor: Preto/Cinzento<br>Medidas: 245cmx330cmx245cm;no;3125025.000;2562520.0;Mobiliário > Lar > Sofás;
BRONTE-1;Conj. de Sofás canto esq.em pele genuina, preta;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Prateado<br>Medidas: 210x250cm;no;955.890;783.82899999999995;Mobiliário > Lar > Sofás;
BRONTE-5;Conj. de Sofás de canto dir em pele castanho;yes;yes;Materias: Metal/Pele<br>Cor: Cinza/Castanho Claro<br>Medidas: 210cmx250cm;no;955.890;783.82899999999995;Mobiliário > Lar > Sofás;
D-087ARBUWP;CADEIRA C/RODAS,BRAÇOS E PALMATORIA;yes;yes;Materiais: Metal/Plástico/Tecido<br>Cor: Preto/Cinza<br>;no;183825.000;150736.0;Mobiliário > Escritório > Cadeiras;
DX6229B;Cadeira de Escritório director com rodas;yes;yes;;no;96471.360;117000.0;Mobiliário > Escritório;
DX6229C;Cadeira de Escritório Visita Fixa;yes;yes;;no;89300.000;75368.25;Mobiliário > Escritório;
GLK-T01;MESA REUNIAO REDONDA 100X75;yes;yes;Materiais: Metal/Madeira<br>Cor: Castanho/Preto<br>Medidas: 100x75cm;no;250002.000;205001.64000000001;Mobiliário > Escritório > Mesas de Reunião;
HX-002B;ARMÁRIO DE ESCRITÓRIO 90*43*182;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas: 90x43x182Cm;no;717652.000;588475.88;Mobiliário > Escritório > Armários de Escritório;
KB-C02412-HT;MESA DE REUNIÃO RECT.240*120*75 CM;yes;yes;;no;633762.000;530592.47999999998;Mobiliário > Escritório;
KB-D01814-HT;SECRETARIA EXECUTIVA 180+EXT.LAT.MADEIRA;yes;yes;;no;417046.000;349708.67999999999;Mobiliário > Escritório;
KB-F02L-HT;MESA DE CENTRO 120*60*42 CM;yes;yes;Materiais: Metal/Madeira<br>Cor: Preto/Castanho<br>Medidas:120X60X42CM;no;294120.000;241178.0;Mobiliário > Escritório > Mesas de Centro;
KB-F02S-HT;MESA DE CENTRO 60*60*20CM;yes;yes;Materiais: Metal/Madeira<br>Cor: Preto/Castanho<br>Medidas:60x60x20cm;no;241178.000;197766.0;Mobiliário > Escritório > Mesas de Centro;
KB-S01804-HT;ARMARIO 180*40*90CM,MAD.P2 PORT.CORRER;yes;yes;;no;345000.000;289414.08000000002;Mobiliário > Escritório;
KB-S1004-HT;MODULO DE 3 GAVETAS COM RODAS;yes;yes;;no;103000.000;86824.220000000001;Mobiliário > Escritório;
KYOTO+2 BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 60x60x44cm;no;312502.000;256252.0;Mobiliário > Lar > Mesas de Centro;
L-4B;ARQUIVADOR 4 GAVETAS 46,62,130;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas:46x62x130cm;no;330885.000;271325.0;Mobiliário > Escritório > Armários de Escritório;
LILA BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 130x70x43cm;no;386032.000;316546.0;Mobiliário > Lar > Mesas de Centro;
LILA PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor: Preto<br>Medidas: 130x70x43cm;no;386032.000;316546.0;Mobiliário > Lar > Mesas de Centro;
LILA SO;MESA DE CENTRO SONOMA(CASTANHO);yes;yes;Materiais: Madeira<br>Cor: Somona(Castanho)<br>Medidas: 130x70x43cm;no;386032.000;316546.0;Mobiliário > Lar > Mesas de Centro;
LILA WG;MESA DE CENTRO WENGUE;yes;yes;Materiais: Madeira<br>Cor: Wengue<br>Medidas: 130x70x43cm;no;290443.000;238163.0;Mobiliário > Lar > Mesas de Centro;
MAGMA BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 130x70x50cm;no;386032.000;316546.0;Mobiliário > Lar > Mesas de Centro;
MAGMA PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor: Preto<br>Medidas: 130x70x50cm;no;386032.000;316546.0;Mobiliário > Lar > Mesas de Centro;
MASIV MINI BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor:  Branco<br>Medidas: 100x70x60cm;no;349267.000;286399.0;Mobiliário > Lar > Mesas de Centro;
MASIV MINI PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor: Preto<br>Medidas: 100x70x60cm;no;349267.000;286399.0;Mobiliário > Lar > Mesas de Centro;
NF 316-2;CADEIRAS EM BATERIA 2 LUGARES;yes;yes;Materiais: Metal/PVC/Tecido<br>Cor: Cinza/Preto<br>Medidas: 95cm Larg;no;136572.000;111989.0;Mobiliário > Escritório > Cadeiras;
NF 316-3;CADEIRA EM BATERIA 3 LUGARES;yes;yes;Materiais: Metal/PVC/Tecido<br>Cor: Cinza/Preto<br>Medidas: 155cm Larg;no;204860.100;167985.84;Mobiliário > Escritório > Cadeiras;
NF 316-4;CADEIRA EM BATERIA 4 LUGARES;yes;yes;Materiais: Metal/PVC/Tecido<br>Cor: Cinza/Preto<br>Medidas: 200cm Larg;no;261766.000;214648.0;Mobiliário > Escritório > Cadeiras;
NF-316-2;CADEIRAS EM BATERIA 2 LUGARES PVC;yes;yes;Materiais: Metal/PVC<br>Cor: Cinza/Preto<br>Medidas: 95cm Larg;no;216913.000;177869.0;Mobiliário > Escritório > Cadeiras;
NW-01A;ARMARIOM CACIFO 2 PORTAS 90X50X180;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas: 90x50x180cm;no;404415.000;331620.0;Mobiliário > Escritório > Armários de Escritório;
NW-04A;ARMARIO 4 CACIFOS 90X50X180;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas:90x50x180cm;no;459562.000;376481.0;Mobiliário > Escritório > Armários de Escritório;
OA-120A;SECRETARIA 120 CEREJEIRA;yes;yes;Materias: Metal/Madeira<br>Cor: Cinza/Cerejeira<br>Medidas: 120x20cm120x70x75cm;no;349267.000;286399.0;Mobiliário > Escritório > Secretárias;
OA-140A;SECRETARIA 140 CEREJEIRA;yes;yes;Materias: Metal/Madeira<br>Cor: Cinza/Cerejeira<br>Medidas: 140x20cm120x70x75cm;no;360297.000;295399.0;Mobiliário > Escritório > Secretárias;
OA-160A;SECRETARIA 160 CEREJEIRA;yes;yes;Materias: Metal/Madeira<br>Cor: Cinza/Cerejeira<br>Medidas: 160x20cm120x70x75cm;no;386032.000;316546.0;Mobiliário > Escritório > Secretárias;
PAMELA CD;Comoda 4 gav (Pamela=Samel);yes;yes;Materiais: Metal/Madeira<br>Cor: Pinho/Branco<br>;no;250002.000;205001.0;Mobiliário > Lar > Cômodas;
PAMELA CM;Cama para colchão 200/180(Pamela=Samel);yes;yes;Materiais: Metal/Madeira<br>Cor: Pinho/Branco<br>Medidas: 200x180cm;no;264708.000;217060.0;Mobiliário > Lar > Camas;
PAMELA MC;Conj. de 2 Mesa de cabeceira (Pamela=Samel);yes;yes;Materiais: Metal/Madeira<br>Cor: Pinho<br>;no;161766.000;132648.0;Mobiliário > Lar > Mesas de Cabeceira;
PAMELA MD;Moldura(Pamela=Samel);yes;yes;Materiais: Vidrol/Madeira<br>Cor: Pinho<br>;no;88236.000;72353.0;Mobiliário > Lar > Espelhos de Quarto;
PAMELA RP;Roupeiro(Pamela=Samel);yes;yes;Materiais: Metal/Madeira/Vidro<br>Cor: Pinho/Branco<br>Medidas: 224cmx206cmx54cm;no;500004.000;410003.0;Mobiliário > Lar > Roupeiros;
PORTO+2 BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 120X60X44CM;no;477945.000;391914.0;Mobiliário > Lar > Mesas de Centro;
PORTO+2 WG;MESA DE CENTRO WENGUE;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 120x60x44cm;no;360297.000;295443.0;Mobiliário > Lar > Mesas de Centro;
ROLLING BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 80x80x41cm;no;386032.000;316546.0;Mobiliário > Lar > Mesas de Centro;
SANTA-FÉ-3L+2L;Conj.Sofás Santa Fé (3+2) Lugares  Pele Gel Savage;yes;yes;Materias: Metal/Pele Gel Savage<br>Cor: Cinza/Branco<br>Medidas: 3L 2,26cmx93cm/ 2L 186cmx93cm;no;1117656.000;916477.0;Mobiliário > Lar > Sofás;
SC201-S;Sapateira de  br.c/espelho 740*235*210mm simple;yes;yes;Materias: Metal/Madeira/vidro<br>Cor: Branco<br>Medidas: 74x23.5x210cm;no;845595.000;693387.0;Mobiliário > Lar > Sapateiras;
ST12;MESA DE REUNIAO REDONDA CASTANHA;yes;yes;Materiais: Metal/Madeira<br>Cor: Branco/Castanho<br>Medidas: 120cm Diametro 75cm de Alt.;no;551475.000;452209.0;Mobiliário > Escritório > Mesas de Reunião;
ST12BR;MESA DE REUNIAO REDONDA BRANCA;yes;yes;Materias: Metal/Madeira<br>Cor: Branco<br>Medidas: 120cm Diametro 75cm Alt.;no;551475.000;452209.0;Mobiliário > Escritório > Mesas de Reunião;
ST14S;MESA DE REUNIAO RETANGULAR E MODULO;yes;yes;Materiais: Metal/Madeira<br>Cor: Cinza/Castanho<br>Medidas: 420cmx110cm;no;1949400.000;1598508.0;Mobiliário > Escritório > Mesas de Reunião;
ST2810 SIMPLES;ARMARIO PERSIANA BX 100*42*72Cm;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas:100x42x72Cm;no;419121.000;343679.0;Mobiliário > Escritório > Armários de Escritório;
ST4010 SIMPLES;ARMARIOS PERSSIANA 1000X420X1020;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas:1000x420x1020;no;441180.000;361767.0;Mobiliário > Escritório > Armários de Escritório;
ST5910;ARMÁRIO PERSSIANA 100*42*150;yes;yes;Materiais: Metal/Plástico<br>Cor: Cinza<br>Medidas:100x42x150Cm;no;496327.000;406988.0;Mobiliário > Escritório > Armários de Escritório;
