SKU;Product Name;Published;Featured;Short Description;Allow Customer Reviews;Regular Price;Sale Price;Category;
D-087ARBUWP;CADEIRA C/RODAS,BRAÇOS E PALMATORIA;yes;yes;Materiais: Metal/Plástico/Tecido<br>Cor: Preto/Cinza<br>;no;198645.000;;Mobiliário > Escritório > Cadeiras;
DX6229B;Cadeira de Escritório director com rodas;yes;yes;;no;115214.100;;Mobiliário > Escritório > Cadeiras;
DX6229C;Cadeira de Escritório Visita Fixa;yes;yes;;no;99322.500;;Mobiliário > Escritório;
GLK-T01;MESA REUNIAO REDONDA 100X75;yes;yes;Materiais: Metal/Madeira<br>Cor: Castanho/Preto<br>Medidas: 100x75cm;no;270157.200;;Mobiliário > Escritório > Mesas de Reunião;
HX-002B;ARMÁRIO DE ESCRITÓRIO 90*43*182;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas: 90x43x182Cm;no;775510.080;;Mobiliário > Escritório > Armários de Escritório;
KB-C02412-HT;MESA DE REUNIÃO RECT.240*120*75 CM;yes;yes;;no;699230.400;;Mobiliário > Escritório > Mesas de Reunião;
KB-D01814-HT;SECRETARIA EXECUTIVA 180+EXT.LAT.MADEIRA;yes;yes;;no;460856.400;;Mobiliário > Escritório;
KB-F02L-HT;MESA DE CENTRO 120*60*42 CM;yes;yes;Materiais: Metal/Madeira<br>Cor: Preto/Castanho<br>Medidas:120X60X42CM;no;317832.000;;Mobiliário > Escritório > Mesas de Centro;
KB-F02S-HT;MESA DE CENTRO 60*60*20CM;yes;yes;Materiais: Metal/Madeira<br>Cor: Preto/Castanho<br>Medidas:60x60x20cm;no;260622.240;;Mobiliário > Escritório > Mesas de Centro;
KB-S01804-HT;ARMARIO 180*40*90CM,MAD.P2 PORT.CORRER;yes;yes;;no;381398.400;;Mobiliário > Escritório;
KB-S1004-HT;MODULO DE 3 GAVETAS COM RODAS;yes;yes;;no;114419.520;;Mobiliário > Escritório;
KYOTO+2 BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 60x60x44cm;no;337696.500;;Mobiliário > Lar > Mesas de Centro;
L-4B;ARQUIVADOR 4 GAVETAS 46,62,130;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas:46x62x130cm;no;337696.500;;Mobiliário > Escritório > Armários de Escritório;
LILA BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 130x70x43cm;no;417154.500;;Mobiliário > Lar > Mesas de Centro;
LILA PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor: Preto<br>Medidas: 130x70x43cm;no;417154.500;;Mobiliário > Lar > Mesas de Centro;
LILA SO;MESA DE CENTRO SONOMA(CASTANHO);yes;yes;Materiais: Madeira<br>Cor: Somona(Castanho)<br>Medidas: 130x70x43cm;no;417154.500;;Mobiliário > Lar > Mesas de Centro;
LILA WG;MESA DE CENTRO WENGUE;yes;yes;Materiais: Madeira<br>Cor: Wengue<br>Medidas: 130x70x43cm;no;313859.100;;Mobiliário > Lar > Mesas de Centro;
MAGMA BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 130x70x50cm;no;417154.500;;Mobiliário > Lar > Mesas de Centro;
MAGMA PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor: Preto<br>Medidas: 130x70x50cm;no;417154.500;;Mobiliário > Lar > Mesas de Centro;
MASIV MINI BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor:  Branco<br>Medidas: 100x70x60cm;no;377425.500;;Mobiliário > Lar > Mesas de Centro;
MASIV MINI PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor: Preto<br>Medidas: 100x70x60cm;no;377425.500;;Mobiliário > Lar > Mesas de Centro;
NF 316-2;CADEIRAS EM BATERIA 2 LUGARES;yes;yes;Materiais: Metal/PVC/Tecido<br>Cor: Cinza/Preto<br>Medidas: 95cm Larg;no;147582.450;;Mobiliário > Escritório > Cadeiras;
NF 316-3;CADEIRA EM BATERIA 3 LUGARES;yes;yes;Materiais: Metal/PVC/Tecido<br>Cor: Cinza/Preto<br>Medidas: 155cm Larg;no;221376.140;;Mobiliário > Escritório > Cadeiras;
NF 316-4;CADEIRA EM BATERIA 4 LUGARES;yes;yes;Materiais: Metal/PVC/Tecido<br>Cor: Cinza/Preto<br>Medidas: 200cm Larg;no;282870.480;;Mobiliário > Escritório > Cadeiras;
NF-316-2;CADEIRAS EM BATERIA 2 LUGARES PVC;yes;yes;Materiais: Metal/PVC<br>Cor: Cinza/Preto<br>Medidas: 95cm Larg;no;234401.100;;Mobiliário > Escritório > Cadeiras;
NW-01A;ARMARIOM CACIFO 2 PORTAS 90X50X180;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas: 90x50x180cm;no;397290.000;;Mobiliário > Escritório > Armários de Escritório;
NW-04A;ARMARIO 4 CACIFOS 90X50X180;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas:90x50x180cm;no;496612.500;;Mobiliário > Escritório > Armários de Escritório;
OA-120A;SECRETARIA 120 CEREJEIRA;yes;yes;Materias: Metal/Madeira<br>Cor: Cinza/Cerejeira<br>Medidas: 120x20cm120x70x75cm;no;297967.500;;Mobiliário > Escritório > Secretárias;
OA-140A;SECRETARIA 140 CEREJEIRA;yes;yes;Materias: Metal/Madeira<br>Cor: Cinza/Cerejeira<br>Medidas: 140x20cm120x70x75cm;no;337696.500;;Mobiliário > Escritório > Secretárias;
OA-160A;SECRETARIA 160 CEREJEIRA;yes;yes;Materias: Metal/Madeira<br>Cor: Cinza/Cerejeira<br>Medidas: 160x20cm120x70x75cm;no;377425.500;;Mobiliário > Escritório > Secretárias;
OC0146956;HELICOPTRO C/TELECOMANDO;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Vermelho<br>Idade: >14;no;31259.630;;BRINQUEDOS > MENINO > Telecomando;
OC0157371;Mochilas escolar"12 CARS;yes;yes;Materiais: Plástico/Tecido<br>Cor: Azul<br>Idade: >4;no;21149.290;;BRINQUEDOS > MENINO > Escolar;
OC0157377;Mochila escolar 12 toy story;yes;yes;Materiais: Plástico/Tecido<br>Cor: Azul<br>Idade: >4;no;21149.290;;BRINQUEDOS > MENINO > Escolar;
OC0174456;CARS - CAMIÃO COM RC MUSICA E LUZES;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Vermelho<br>Idade: >6;no;48751.960;;BRINQUEDOS > MENINO > Telecomando;
OC0174759;Mochilas Escolar15;yes;yes;Materiais: Plástico/Tecido<br>Cor: Azul<br>Idade: >4;no;25524.060;;BRINQUEDOS > MENINO > Escolar;
OC0174764;MOCHILA ESCOLAR 15 ANGRY BIRDS;yes;yes;Materiais: Plástico/Tecido<br>Cor: Azul<br>Idade: >4;no;25524.060;;BRINQUEDOS > MENINO > Escolar;
OC0196313;DRONE COM RC,USD E LCD;yes;yes;Materiais: Metal/Plástico/Componentes eletrónicos<br>Cor: Preto/Prateado/Branco<br>Idade: >14;no;72481.200;;BRINQUEDOS > MENINO > Drones;
OC0206087;DRONE X-SCOUT;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Vermelho<br>Idade: >14;no;116820.840;;BRINQUEDOS > MENINO > Drones;
OC0217144;BARBIE-CONJ. DE PULSEIRAS;yes;yes;Materiais: Plástico/Tecido<br>Cor: Rosa<br>Idade: >4;no;5968.740;;BRINQUEDOS > MENINA > Beleza;
OC0252780;DRONE COM RC;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Cinza<br>Idade: >14;no;196125.600;;BRINQUEDOS > MENINO > Drones;
OC0252840;IRON-DRONE;yes;yes;Materiais: Plástico/Componentes eletrónicos<br>Cor: Branco/Vermelho/Prateado<br>Idade: >14 ;no;98062.800;;BRINQUEDOS > MENINO > Drones;
OC0252905;DRONE 4G QUADPCOTER WATCHMEN;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Vermelho/Azul/Preto<br>Idade: >14;no;110853.600;;BRINQUEDOS > MENINO > Drones;
OC0257671;SPIDERMAN-CONJUNTO ESCOLAR DE MOCHILA, LANCHEIRA E;yes;yes;Materiais: Plástico/Tecido<br>Cor: Azul/Vermelho<br>Idade: >3;no;76744.800;;BRINQUEDOS > MENINO > Escolar;
OC0279947;Camião Purificador com Rc;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Verde<br>Idade: >3;no;24798.440;;BRINQUEDOS > MENINO > Telecomando;
OC0282078;DRONE COM RC;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Preto/Amarelo<br>Idade: >14;no;144962.400;;BRINQUEDOS > MENINA > Drones;
OC0299216;CARRO ANFÍBIO DE ESCALADA COM RC;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Vermelho<br>Idade: >8;no;77520.000;;BRINQUEDOS > MENINO > Telecomando;
