SKU;Product Name;Published;Featured;Short Description;Allow Customer Reviews;Regular Price;Sale Price;Category;
15175.;CRAZY CHIC- MAKE UP URSO ;yes;yes;Materiais: Maquiagem<br>Cor: Azul<br>Idade: >4;no;15248.070;;BRINQUEDOS > MENINA > Beleza;
15176.;CRAZY CHIC- MAKE UP GATO;yes;yes;Materiais: Maquiagem<br>Cor: Azul<br>Idade: >4;no;15248.070;;BRINQUEDOS > MENINA > Beleza;
15177.;CRAZY CHIC-MAKE UP COELHO;yes;yes;Materiais:Maquiagem<br>Cor: Azul<br>Idade: >4;no;16051.200;;BRINQUEDOS > MENINA > Beleza;
15178.;CRAZY CHIC- MAKE UP LEÃO;yes;yes;Materiais: Maquiagem<br>Cor: Azul<br>Idade: >4;no;16051.200;;BRINQUEDOS > MENINA > Beleza;
15234;CRAZY CHIC-CONJ.DE MAKE UP DE ARTISTA;yes;yes;Materiais: Maquiagem<br>Cor: Varias Cores<br>Idade: >4;no;50160.000;;BRINQUEDOS > MENINA > Beleza;
15240;CRAZY CHIC-ROMANTIC MAKE UP;yes;yes;Materiais: Maquiagem<br>Cor: Azul<br>Idade: >4;no;35568.000;;BRINQUEDOS > MENINA > Beleza;
408-H;CADEIRA  EXECUTIVA EM PELE PRETO;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Cromado<br>;no;537225.000;440524.5;Mobiliário > Escritório;
408-HH;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;486096.000;;Mobiliário > Escritório > Cadeiras;
408-L;CADEIRA EXECUTIVA EM PELE PRETO;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Cromado<br>;no;495900.000;406638.0;Mobiliário > Escritório > Cadeiras;
408-LL;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado;no;448704.000;;Mobiliário > Escritório > Cadeiras;
408V;CADEIRA DE VISITA EM PELE PRETO;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Cromado<br>;no;392587.500;321921.15000000002;Mobiliário > Escritório > Cadeiras;
408-V;CADEIRA DE VISITA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;392587.500;321921.15000000002;Mobiliário > Escritório > Cadeiras;
522H;CADEIRA EXECUTIVA EM PELE PRETO;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Cromado<br>;no;371925.000;304978.5;Mobiliário > Escritório > Cadeiras;
522-H;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materiais: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;336528.000;;Mobiliário > Escritório > Cadeiras;
522L;CADEIRA EXECUTIVA  EM PELE PRETO;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Cromado<br>;no;309937.500;254148.75;Mobiliário > Escritório > Cadeiras;
522-L;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materiais: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;280440.000;;Mobiliário > Escritório > Cadeiras;
522V;CADEIRA DE VISITA EM PELE PRETO;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Cromado<br>;no;227686.500;186702.92999999999;Mobiliário > Escritório;
522-V;CADEIRA DE VISITA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;206017.030;;Mobiliário > Escritório > Cadeiras;
574L;Cadeiras Exec. C/Costa Med de Escrit. em pele PRET;yes;yes;;no;392616.000;;Mobiliário > Escritório;
574V;Cadeira de Visita em pele;yes;yes;;no;291657.600;;Mobiliário > Escritório;
67180.;FROZEN COLARES E BRINCOS;yes;yes;Materiais: Plástico/Metal<br>Cor: Azul<br>Idade: >4;no;16051.200;;BRINQUEDOS > MENINA > Beleza;
993 DT;Conj.de sofas de canto dir.em pele preto & branco;yes;yes;;no;3206364.580;;Mobiliário > Lar > Sofás;
993 EQ;Sofa com canto esquerdo em pele preto e branco;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Branco<br>Medidas: 230cmx190cm;no;3206364.580;;Mobiliário > Lar > Sofás;
A78 CHOCOLAT;Sofá de 1L Chocolate;yes;yes;Materiais: Pele<br>Cor: Castanho<br>;no;336528.000;;Mobiliário > Escritório > Sofás;
A78 CHOCOLATE;Sofá de 3L Chocolate;yes;yes;Materiais: Pele<br>Cor: Castanho/Prata<br>;no;972192.000;;Mobiliário > Escritório > Sofás;
A78 CHOCOLATE (3+1+1);Conj.Sofás Escritório A78(3+1+1);yes;yes;Materiais: Pele<br>Cor: Castanho/Prata<br>;no;1488201.600;;Mobiliário > Escritório > Sofás;
A78 PRETO;SOFA DE ESCRITORIO 1 LUGAR;yes;yes;Materiais: Pele<br>Cor: Preto/Prata;no;336528.000;;Mobiliário > Escritório > Sofás;
A78 PRETO (3+1+1);Conj.Sofás Escritório A78 (3+1+1);yes;yes;Materiais: Pele<br>Cor: Preto/Prata<br>;no;1488201.600;;Mobiliário > Escritório > Sofás;
A78 PRETO.;SOFA DE ESCRITORIO 3 LUGAR;yes;yes;Materiais: Pele<br>Cor: Preto/Prata;no;972192.000;;Mobiliário > Escritório > Sofás;
ALEX+2 BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas:120x60x44cm;no;486096.000;;Mobiliário > Lar > Mesas de Centro;
ALEX+2 PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor:Preto<br>Medidas:120x60x44cm;no;486096.000;;Mobiliário > Lar > Mesas de Centro;
